first_name,last_name,gender,age,email,phone_number,address,poscode,city,latitude,longitude,admin_name,generic,sales_value,datetime
Malchy,Dunnan,Male,74,mdunnan0@ihg.com,+60 458 604 8375,83 Buell Point,88628,Kota Kinabalu,5.9840985,116.0761121,Sabah,Erysaa,824591.33,2024-01-03
Rasla,Janisson,Female,78,rjanisson1@indiatimes.com,+60 192 109 7665,95 Schlimgen Trail,93504,Kuching,3.2093353,101.6716295,Sarawak,Krabeva,359851.62,2024-05-06
Lolita,Kelshaw,Female,50,lkelshaw2@networksolutions.com,+60 200 692 7815,2749 Vahlen Road,41200,Klang,2.967008,101.490712,Selangor,Insugen-R,889857.3,2024-10-24
Pall,Revey,Male,19,prevey3@businessweek.com,+60 771 800 7821,223 Grasskamp Center,05720,Alor Setar,6.1205833,100.3694375,Kedah,Insugen 30/70,870658.1,2024-06-08
Jeanne,Burgen,Female,21,jburgen4@wufoo.com,+60 219 103 2389,72649 Goodland Court,88861,Kota Kinabalu,5.9840985,116.0761121,Sabah,Haemosol,52678.3,2024-08-13
Hunt,Mayman,Male,42,hmayman5@auda.org.au,+60 286 307 8995,0 Kropf Junction,13800,Butterworth,5.4552197,100.4115631,Pulau Pinang,Kirsty,426718.37,2024-09-11
Mildred,McOrkil,Non-binary,70,mmcorkil6@sphinn.com,+60 251 316 2484,898 Drewry Pass,79518,Nusajaya,1.424768,103.6487041,Johor,Krabeva,19939.33,2024-05-05
Allissa,Ramalhete,Female,72,aramalhete7@google.com.hk,+60 625 649 6984,6504 Fordem Way,25200,Kuantan,3.8353843,103.2901816,Pahang,Basalog,163955.74,2024-01-11
Jerald,Hardie,Male,36,jhardie8@answers.com,+60 804 962 8308,19 Fieldstone Center,01508,Kangar,6.4387946,100.1947477,Perlis,Ranofer,889546.54,2024-02-11
Desiri,Korpolak,Female,19,dkorpolak9@sina.com.cn,+60 771 572 4089,0853 Anniversary Point,26620,Pekan,3.5897715,103.3475743,Pahang,Basalog,19257.45,2024-09-10
Joceline,Berwick,Female,71,jberwicka@constantcontact.com,+60 534 216 4528,8 Armistice Lane,31407,Ipoh,4.6096768,101.1064003,Perak,Zuhera,224895.87,2024-09-23
Coretta,Supple,Female,68,csuppleb@merriam-webster.com,+60 138 785 1115,62303 Blackbird Point,01578,Kangar,6.4387946,100.1947477,Perlis,Insugen 30/70,468679.7,2024-09-17
Jesus,Carlisle,Male,52,jcarlislec@blinklist.com,+60 745 386 7429,4 Vera Plaza,91117,Lahad Datu,5.0281872,118.3157161,Sabah,Lebreta,527663.45,2023-12-18
Carmelita,Gammell,Female,76,cgammelld@sitemeter.com,+60 181 781 2610,32 Jenifer Avenue,40990,Shah Alam,3.0100681,101.5326734,Selangor,Trevive,603816.34,2024-06-28
Myrta,Rozenbaum,Female,49,mrozenbaume@bizjournals.com,+60 915 431 8921,517 Dorton Drive,91030,Tawau,4.243113,117.893335,Sabah,Haemosol,420016.76,2024-05-06
Mada,Byrd,Female,56,mbyrdf@shinystat.com,+60 530 495 7779,25 Meadow Vale Circle,30200,Ipoh,4.5087894,101.0372376,Perak,Haemosol,875090.02,2024-09-21
Herby,Kenelin,Male,21,hkeneling@nps.gov,+60 144 775 9739,138 Northview Way,30902,Ipoh,4.6096768,101.1064003,Perak,Krabeva,183884.52,2024-02-24
Krystal,Hedgeley,Female,36,khedgeleyh@auda.org.au,+60 995 518 0791,35275 Cody Park,88400,Kota Kinabalu,6.0244601,116.1442241,Sabah,Insugen 30/70,494938.11,2024-07-30
Lay,Ellard,Non-binary,60,lellardi@msu.edu,+60 378 739 8584,99925 1st Junction,20710,Kuala Terengganu,5.7577596,103.0010752,Terengganu,Haemosol,12883.97,2024-08-13
Anastasie,Turnock,Female,56,aturnockj@about.com,+60 892 261 8091,052 Sutteridge Center,05720,Alor Setar,6.1205833,100.3694375,Kedah,Lebreta,801474.03,2024-09-02
Matthieu,Barrowclough,Male,67,mbarrowcloughk@moonfruit.com,+60 230 803 4846,22 Fairview Park,15740,Kota Bharu,6.1097207,102.2462087,Kelantan,Lebreta,965630.97,2024-10-03
Pablo,Yule,Genderqueer,36,pyulel@altervista.org,+60 877 592 3982,0 Norway Maple Avenue,05672,Alor Setar,6.1191928,100.3707441,Kedah,Unihep,649858.57,2024-07-31
Brand,Parkhouse,Male,28,bparkhousem@oaic.gov.au,+60 982 433 9859,3 Pine View Pass,50902,Kuala Lumpur,3.1523104,101.7178316,Kuala Lumpur,Ranofer,789560.88,2024-11-29
Renaldo,Coundley,Male,71,rcoundleyn@ezinearticles.com,+60 691 538 9695,697 Clemons Plaza,30554,Ipoh,4.6096768,101.1064003,Perak,Kirsty,630013.57,2024-03-06
Alaric,Wildber,Genderqueer,77,awildbero@buzzfeed.com,+60 466 540 9790,86625 Thierer Alley,10612,Pulau Pinang,5.414515,100.329744,Pulau Pinang,Basalog One,72752.47,2024-08-26
Renault,Wimbury,Male,64,rwimburyp@dagondesign.com,+60 903 798 0003,8392 Doe Crossing Terrace,05622,Alor Setar,6.1244023,100.3674801,Kedah,Unihep,59349.09,2024-06-02
Boy,Maccrea,Male,79,bmaccreaq@jiathis.com,+60 562 389 2762,77 Merrick Plaza,79503,Nusajaya,1.4190683,103.652859,Johor,Bi-Haemosol,547475.95,2024-02-03
Dre,Lomath,Female,47,dlomathr@who.int,+60 873 491 2523,928 Rieder Pass,30506,Ipoh,4.6096768,101.1064003,Perak,Haemosol,429921.02,2023-12-24
Anders,Groundwater,Male,28,agroundwaters@google.com.hk,+60 588 234 5999,52 Debra Junction,88758,Kota Kinabalu,5.9840985,116.0761121,Sabah,Haemosol,328493.1,2024-11-12
Bertram,Putnam,Male,43,bputnamt@jugem.jp,+60 647 668 9429,1870 Dottie Terrace,41200,Klang,2.967008,101.490712,Selangor,Insugen-N,115876.28,2024-12-02
Lise,McGiffie,Female,53,lmcgiffieu@abc.net.au,+60 609 799 1635,3840 Lotheville Park,88768,Kota Kinabalu,5.9840985,116.0761121,Sabah,Insugen-N,568533.16,2024-04-12
Foss,Labell,Male,27,flabellv@umn.edu,+60 391 884 7541,7 Marcy Parkway,79575,Nusajaya,1.424768,103.6487041,Johor,Basalog One,833109.29,2024-12-04
Marci,Roseveare,Female,32,mrosevearew@nydailynews.com,+60 347 424 6737,469 Arizona Way,20916,Kuala Terengganu,5.3302,103.1363302,Terengganu,Erysaa,364457.54,2024-07-25
Marietta,Huleatt,Male,38,mhuleattx@qq.com,+60 440 257 1611,2902 La Follette Street,88661,Kota Kinabalu,5.9840985,116.0761121,Sabah,Lebreta,702807.16,2024-02-25
Kanya,Kynan,Female,20,kkynany@bloglovin.com,+60 584 405 3215,5469 Crownhardt Hill,90716,Sandakan,5.84561,118.0570561,Sabah,Trevive,440996.66,2023-12-14
Alejandrina,Troppmann,Female,78,atroppmannz@jalbum.net,+60 224 396 0749,99 Logan Terrace,91010,Tawau,4.363324,118.099562,Sabah,Bi-Haemosol,96857.32,2024-08-01
Tait,Bayldon,Polygender,34,tbayldon10@furl.net,+60 725 391 3117,9 Dryden Street,50700,Kuala Lumpur,3.1523104,101.7178316,Kuala Lumpur,Unihep,400314.05,2024-07-20
Allayne,Harvard,Male,21,aharvard11@posterous.com,+60 412 490 1996,2644 Wayridge Junction,91020,Tawau,4.243113,117.893335,Sabah,Kirsty,969499.62,2024-03-20
Camel,Treeby,Female,35,ctreeby12@elpais.com,+60 592 561 1148,21 Manitowish Lane,50923,Kuala Lumpur,3.1523104,101.7178316,Kuala Lumpur,Kytron,716872.2,2024-07-25
Cazzie,Mouse,Male,79,cmouse13@t.co,+60 307 925 8070,67 Barnett Crossing,79518,Nusajaya,1.424768,103.6487041,Johor,Kytron,14822.15,2024-02-01
Aarika,Smale,Female,28,asmale14@1688.com,+60 882 747 5484,11326 Cottonwood Crossing,20576,Kuala Terengganu,5.329576,103.1369108,Terengganu,Haemosol,886466.09,2024-01-04
Kaiser,Dankersley,Male,47,kdankersley15@accuweather.com,+60 355 591 1257,1819 Mayfield Point,25556,Kuantan,3.9671435,103.40391,Pahang,Insugen-N,256876.04,2024-11-22
Lauri,Lowles,Female,62,llowles16@geocities.com,+60 974 747 4125,73318 Lake View Way,50720,Kuala Lumpur,3.1523104,101.7178316,Kuala Lumpur,Zuhera,274920.85,2024-09-14
Elfie,Von Oertzen,Female,42,evonoertzen17@reverbnation.com,+60 257 817 7279,353 Northview Trail,93590,Kuching,1.547829,110.341564,Sarawak,Lebreta,222546.85,2024-10-15
Jacob,Hardcastle,Male,68,jhardcastle18@cbc.ca,+60 988 697 6663,4772 Superior Alley,75552,Melaka,3.1121428,101.6935065,Melaka,Trevive,962830.36,2024-10-05
Kristien,Flement,Female,72,kflement19@mit.edu,+60 349 424 1487,294 Mayfield Place,55928,Kuala Lumpur,3.1523104,101.7178316,Kuala Lumpur,Insugen-R,891281.26,2024-04-23
Sophia,Arendt,Female,23,sarendt1a@google.fr,+60 892 851 6542,80545 Golf View Street,93558,Kuching,3.2093353,101.6716295,Sarawak,Krabeva,109010.54,2024-11-06
Maryellen,McInerney,Female,40,mmcinerney1b@cnn.com,+60 125 417 3075,8 Warner Hill,88610,Kota Kinabalu,5.9840985,116.0761121,Sabah,Basalog One,648991.6,2024-01-28
